unique_task_id,source_row,task_ref,project_id,task_group,task_type,to_package,association,cause,created_date,created_year,created_month,created_weekday,description_length,has_images,has_comments,has_documents,overdue_label,days_since_dataset_start,urgency_level,safety_classification,task_type_original
1328_T1.23963030,2,T1.23963030,1328,Safety,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,JPC - Safety - Documentation,2020-09-14,2020,9,Monday,139,0,0,0,0,542,Not Specified,Behavioural Failure,Safety Notice (Amber) - General Issue
1328_T116412.200,3,T116412.200,1328,Site Management,JPC - Progress Photo,Ceilings & Partitions,Not Specified,Not Specified,2020-09-14,2020,9,Monday,6,1,0,0,0,542,Not Specified,Not Applicable,JPC - Progress Photo
1328_T141663.27,4,T141663.27,1328,Safety,Safety Notice (Green) - Good Observation,Main Contractor,FormAnswer,JPC - Safety - Access,2020-09-14,2020,9,Monday,50,1,0,0,0,542,Not Specified,Not Applicable,Safety Notice (Green) - Good Observation
1328_T116412.199,5,T116412.199,1328,Site Management,JPC - Progress Photo,Precast Concrete,Not Specified,Not Specified,2020-09-14,2020,9,Monday,8,1,0,0,0,542,Not Specified,Not Applicable,JPC - Progress Photo
1328_T141663.26,6,T141663.26,1328,Safety,Safety Notice (Green) - Good Observation,Precast Concrete,FormAnswer,JPC - Safety - House Keeping,2020-09-14,2020,9,Monday,84,1,0,0,0,542,Not Specified,Not Applicable,Safety Notice (Green) - Good Observation
1328_T116412.198,7,T116412.198,1328,Site Management,JPC - Progress Photo,Roofing,Not Specified,Not Specified,2020-09-14,2020,9,Monday,10,1,0,0,0,542,Not Specified,Not Applicable,JPC - Progress Photo
1328_T141663.25,8,T141663.25,1328,Safety,Safety Notice (Green) - Good Observation,Ceilings & Partitions,FormAnswer,JPC - Safety - Welfare Facilities,2020-09-14,2020,9,Monday,59,1,0,0,0,542,Not Specified,Not Applicable,Safety Notice (Green) - Good Observation
1328_T116412.197,9,T116412.197,1328,Site Management,JPC - Progress Photo,Cladding & Roofing,Not Specified,Not Specified,2020-09-14,2020,9,Monday,13,1,0,0,0,542,Not Specified,Not Applicable,JPC - Progress Photo
1328_T141663.24,10,T141663.24,1328,Safety,Safety Notice (Green) - Good Observation,Main Contractor,FormAnswer,JPC - Safety - PPE,2020-09-14,2020,9,Monday,39,0,0,0,0,542,Not Specified,Not Applicable,Safety Notice (Green) - Good Observation
1328_T141663.23,11,T141663.23,1328,Safety,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,JPC - Safety - Access,2020-09-14,2020,9,Monday,70,1,0,0,0,542,Not Specified,Not Applicable,Safety Notice (Amber) - General Issue
1328_T141663.22,12,T141663.22,1328,Safety,Safety Notice (Amber) - General Issue,Ceilings & Partitions,FormAnswer,JPC - Safety - Storage,2020-09-14,2020,9,Monday,119,1,0,0,0,542,Not Specified,Behavioural Failure,Safety Notice (Amber) - General Issue
1328_T141663.21,13,T141663.21,1328,Safety,Safety Notice (Amber) - General Issue,Scaffolding,FormAnswer,JPC - Safety - Access,2020-09-14,2020,9,Monday,17,1,0,0,0,542,Not Specified,Behavioural Failure,Safety Notice (Amber) - General Issue
1328_T141663.20,14,T141663.20,1328,Safety,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,JPC - Safety - PPE,2020-09-14,2020,9,Monday,428,0,0,0,0,542,Not Specified,System Failure,Safety Notice (Amber) - General Issue
1328_T141663.19,15,T141663.19,1328,Safety,Safety Notice (Amber) - General Issue,Main Contractor,Not Specified,JPC - Safety - Documentation,2020-09-14,2020,9,Monday,69,1,0,0,0,542,Not Specified,Not Applicable,Safety Notice (Amber) - General Issue
1328_T141663.18,16,T141663.18,1328,Safety,Safety Notice (Amber) - General Issue,Main Contractor,Not Specified,JPC - Safety - Welfare Facilities,2020-09-14,2020,9,Monday,152,1,0,0,0,542,Not Specified,Not Applicable,Safety Notice (Amber) - General Issue
1328_T141663.17,17,T141663.17,1328,Safety,Safety Notice (Amber) - General Issue,Mechanical,FormAnswer,JPC - Safety - Ladders,2020-09-14,2020,9,Monday,64,1,0,0,0,542,Not Specified,Behavioural Failure,Safety Notice (Amber) - General Issue
1328_T141663.16,18,T141663.16,1328,Safety,Safety Notice (Amber) - General Issue,Temporary Electrics,FormAnswer,JPC - Safety - WAH Equipment,2020-09-14,2020,9,Monday,13,1,0,0,0,542,Not Specified,Not Applicable,Safety Notice (Amber) - General Issue
1328_T141663.15,19,T141663.15,1328,Safety,Safety Notice (Amber) - General Issue,Precast Concrete,FormAnswer,JPC - Safety - Ladders,2020-09-14,2020,9,Monday,13,1,0,0,0,542,Not Specified,Behavioural Failure,Safety Notice (Amber) - General Issue
1328_T141663.14,20,T141663.14,1328,Safety,Safety Notice (Amber) - General Issue,Scaffolding,FormAnswer,JPC - Safety - Scaffolding,2020-09-14,2020,9,Monday,230,1,0,0,0,542,Not Specified,System Failure,Safety Notice (Amber) - General Issue
1328_T141663.13,21,T141663.13,1328,Safety,Safety Notice (Amber) - General Issue,Ceilings & Partitions,FormAnswer,JPC - Safety - House Keeping,2020-09-14,2020,9,Monday,55,1,0,0,0,542,Not Specified,Not Applicable,Safety Notice (Amber) - General Issue
1328_T116412.196,22,T116412.196,1328,Quality,JPC - Quality Defect (compliance),Ceilings & Partitions,FormAnswer,JPC - Quality - Workmanship,2020-09-14,2020,9,Monday,35,1,1,0,0,542,Not Specified,Not Applicable,JPC - Quality Defect (compliance)
1328_T116412.195,23,T116412.195,1328,Quality,JPC - Quality Defect (compliance),Ceilings & Partitions,FormAnswer,JPC - Quality - Workmanship,2020-09-14,2020,9,Monday,35,1,1,0,0,542,Not Specified,Not Applicable,JPC - Quality Defect (compliance)
1328_T131475.100,24,T131475.100,1328,Site Management,JPC - Works To Go,Temporary Electrics,FormAnswer,Not Specified,2020-09-11,2020,9,Friday,51,1,0,0,0,539,Not Specified,Not Applicable,JPC - Works To Go
1328_T107663.55,25,T107663.55,1328,Safety,Safety Notice (Green) - Good Observation,Main Contractor,FormAnswer,JPC - Safety - Access,2020-09-11,2020,9,Friday,30,1,0,0,0,539,Not Specified,Not Applicable,Safety Notice (Green) - Good Observation
1328_T107663.54,26,T107663.54,1328,Safety,Safety Notice (Amber) - General Issue,Precast Concrete,FormAnswer,JPC - Safety - House Keeping,2020-09-11,2020,9,Friday,70,1,0,0,0,539,Not Specified,Behavioural Failure,Safety Notice (Amber) - General Issue
1328_T131475.99,27,T131475.99,1328,Safety,Safety Notice (Amber) - General Issue,Temporary Electrics,FormAnswer,JPC - Safety - Temporary Electrics,2020-09-11,2020,9,Friday,36,1,0,0,0,539,Not Specified,Not Applicable,Safety Notice (Amber) - General Issue
1328_T107663.53,28,T107663.53,1328,Safety,Safety Notice (Amber) - General Issue,Ceilings & Partitions,FormAnswer,JPC - Safety - House Keeping,2020-09-11,2020,9,Friday,35,1,0,0,0,539,Not Specified,System Failure,Safety Notice (Amber) - General Issue
1328_T131475.98,29,T131475.98,1328,Safety,Safety Notice (Amber) - General Issue,Temporary Electrics,FormAnswer,JPC - Safety - Electrical,2020-09-11,2020,9,Friday,36,1,0,0,0,539,Not Specified,Not Applicable,Safety Notice (Amber) - General Issue
1328_T107663.52,30,T107663.52,1328,Safety,Safety Notice (Amber) - General Issue,Mechanical,FormAnswer,JPC - Safety - House Keeping,2020-09-11,2020,9,Friday,10,1,0,0,0,539,Not Specified,Behavioural Failure,Safety Notice (Amber) - General Issue
1328_T107663.51,31,T107663.51,1328,Safety,Safety Notice (Amber) - General Issue,Curtain Walling,FormAnswer,JPC - Safety - Storage,2020-09-11,2020,9,Friday,36,1,0,0,0,539,Not Specified,System Failure,Safety Notice (Amber) - General Issue
1328_T131475.97,32,T131475.97,1328,Safety,Safety Notice (Amber) - General Issue,Temporary Electrics,FormAnswer,JPC - Safety - Electrical,2020-09-11,2020,9,Friday,58,1,0,0,0,539,Not Specified,Not Applicable,Safety Notice (Amber) - General Issue
1328_T107663.50,33,T107663.50,1328,Safety,Safety Notice (Green) - Good Observation,Concrete - Formwork,FormAnswer,JPC - Safety - House Keeping,2020-09-11,2020,9,Friday,31,1,0,0,0,539,Not Specified,Not Applicable,Safety Notice (Green) - Good Observation
1328_T131475.96,34,T131475.96,1328,Safety,Safety Notice (Amber) - General Issue,Temporary Electrics,Not Specified,JPC - Safety - Electrical,2020-09-11,2020,9,Friday,52,1,0,0,0,539,Not Specified,Not Applicable,Safety Notice (Amber) - General Issue
1328_T107663.49,35,T107663.49,1328,Safety,Safety Notice (Amber) - General Issue,Temporary Electrics,FormAnswer,JPC - Safety - Lead Management,2020-09-11,2020,9,Friday,12,1,0,0,0,539,Not Specified,Behavioural Failure,Safety Notice (Amber) - General Issue
1328_T107663.48,36,T107663.48,1328,Safety,Safety Notice (Amber) - General Issue,Fire Stopping,FormAnswer,JPC - Safety - House Keeping,2020-09-11,2020,9,Friday,53,1,0,0,0,539,Not Specified,Behavioural Failure,Safety Notice (Amber) - General Issue
1328_T131475.95,37,T131475.95,1328,Site Management,JPC - Works To Go,Temporary Electrics,FormAnswer,Not Specified,2020-09-11,2020,9,Friday,53,0,0,0,0,539,Not Specified,Not Applicable,JPC - Works To Go
1328_T131475.94,38,T131475.94,1328,Site Management,JPC - Works To Go,Temporary Electrics,FormAnswer,Not Specified,2020-09-11,2020,9,Friday,76,1,0,0,0,539,Not Specified,Not Applicable,JPC - Works To Go
1328_T131475.93,39,T131475.93,1328,Site Management,JPC - Works To Go,Temporary Electrics,FormAnswer,Not Specified,2020-09-11,2020,9,Friday,55,1,0,0,0,539,Not Specified,Not Applicable,JPC - Works To Go
1328_T131475.92,40,T131475.92,1328,Site Management,JPC - Works To Go,Temporary Electrics,FormAnswer,Not Specified,2020-09-11,2020,9,Friday,55,1,0,0,0,539,Not Specified,Not Applicable,JPC - Works To Go
1328_T131475.91,41,T131475.91,1328,Safety,Safety Notice (Amber) - General Issue,Temporary Electrics,FormAnswer,JPC - Safety - Electrical,2020-09-11,2020,9,Friday,71,1,0,0,0,539,Not Specified,Behavioural Failure,Safety Notice (Amber) - General Issue
1328_T131475.90,42,T131475.90,1328,Safety,Safety Notice (Amber) - General Issue,Temporary Electrics,FormAnswer,JPC - Safety - Electrical,2020-09-11,2020,9,Friday,248,1,0,0,0,539,Not Specified,Behavioural Failure,Safety Notice (Amber) - General Issue
1328_T131475.89,43,T131475.89,1328,Safety,Safety Notice (Amber) - General Issue,Temporary Electrics,FormAnswer,JPC - Safety - Electrical,2020-09-11,2020,9,Friday,62,1,0,0,0,539,Not Specified,Behavioural Failure,Safety Notice (Amber) - General Issue
1328_T116412.194,44,T116412.194,1328,Safety,Safety Notice (Amber) - General Issue,Mechanical,FormAnswer,JPC - Quality - Workmanship,2020-09-10,2020,9,Thursday,19,1,0,0,0,538,Not Specified,Not Applicable,Safety Notice (Amber) - General Issue
1328_T116412.193,45,T116412.193,1328,Safety,Safety Notice (Amber) - General Issue,Mechanical,FormAnswer,JPC - Safety - House Keeping,2020-09-10,2020,9,Thursday,54,1,0,0,0,538,Not Specified,Not Applicable,Safety Notice (Amber) - General Issue
1328_T116412.192,46,T116412.192,1328,Safety,Safety Notice (Amber) - General Issue,Precast Concrete,FormAnswer,JPC - Safety - House Keeping,2020-09-10,2020,9,Thursday,12,1,0,0,0,538,Not Specified,Not Applicable,Safety Notice (Amber) - General Issue
1328_T116412.191,47,T116412.191,1328,Safety,Safety Notice (Amber) - General Issue,Ceilings & Partitions,FormAnswer,JPC - Safety - House Keeping,2020-09-10,2020,9,Thursday,15,1,0,0,0,538,Not Specified,Not Applicable,Safety Notice (Amber) - General Issue
1328_T116412.190,48,T116412.190,1328,Safety,Safety Notice (Amber) - General Issue,Fire Stopping,FormAnswer,JPC - Safety - House Keeping,2020-09-10,2020,9,Thursday,36,1,1,0,0,538,Not Specified,Not Applicable,Safety Notice (Amber) - General Issue
